date, val1, val2
2012-02-29,5.3403869465e+07,2.9212563346e+07
2012-03-01,1.8131788327e+08,3.4112038350e+07
2012-03-02,5.8609663783e+07,2.0836053619e+07
2012-03-03,7.0414334105e+07,5.5012961825e+07
2012-03-04,3.6273468567e+07,1.5293037417e+07
2012-03-05,2.6653010662e+07,1.6480403494e+07
2012-03-06,5.1123806042e+07,3.0049304369e+07
2012-03-07,4.9448190296e+07,2.8970728548e+07
2012-03-08,5.2220604463e+07,3.2981749620e+07
2012-03-09,4.9084586689e+07,4.9247817784e+07
2012-03-10,4.4102066762e+07,3.4054319280e+07
2012-03-11,1.1398773449e+07,1.0281847928e+07
2012-03-12,1.5345029117e+07,1.0057873282e+07
2012-03-13,3.3034289588e+07,2.4098678640e+07
2012-03-14,3.5897226454e+07,2.6487040298e+07
2012-03-15,4.7494758989e+07,4.2140303389e+07
2012-03-16,2.9582253998e+07,2.0721543090e+07
2012-03-17,4.3670601636e+07,2.9261041685e+07
2012-03-18,2.5068094311e+07,1.2165472548e+07
2012-03-19,1.2350976688e+07,1.0577802214e+07
2012-03-20,5.1607188563e+07,3.6956602680e+07
2012-03-21,4.8665845985e+07,3.5184673411e+07
2012-03-22,4.8600287287e+07,3.5475251619e+07
2012-03-23,4.6023200660e+07,2.7227226924e+07
2012-03-24,6.0843102021e+07,4.0586506062e+07
2012-03-25,3.8275555184e+07,2.5113035870e+07
2012-03-26,4.5644584166e+07,2.1457954719e+07
2012-03-27,5.6217980385e+07,3.8758684371e+07
2012-03-28,4.7135310747e+07,3.3663874707e+07
2012-03-29,5.6155315567e+07,3.9338435099e+07
2012-03-30,3.8402778604e+07,3.0093626110e+07
2012-03-31,4.3809041549e+07,2.4727907850e+07
2012-04-01,1.4667128827e+07,6.0198994046e+06
2012-04-02,1.0936497918e+07,4.2611699798e+06
2012-04-03,4.2722968416e+07,3.7845867002e+07
2012-04-04,4.1424386737e+07,3.4338507478e+07
2012-04-05,4.2600630322e+07,2.3677535198e+07
2012-04-06,4.8035886007e+07,3.3227564913e+07
2012-04-07,1.2163274396e+07,6.0246970071e+06
2012-04-08,2.9613661961e+06,3.5900206556e+06
2012-04-09,4.1813939824e+06,3.1866373564e+06
2012-04-10,4.2019021653e+07,3.3345672731e+07
2012-04-11,3.9120874143e+07,2.3951231792e+07
2012-04-12,6.9720511721e+07,2.9442139548e+07
2012-04-13,4.4051587998e+07,2.6203134026e+07
2012-04-14,4.4793633847e+07,2.6199973163e+07
2012-04-15,1.3863519944e+07,1.0720025208e+07
2012-04-16,1.6773904807e+07,1.1880964348e+07
